"Step","lemon-disco-5 - train/loss","lemon-disco-5 - train/loss__MIN","lemon-disco-5 - train/loss__MAX"
"374","1.9328","1.9328","1.9328"
"375","1.9328","1.9328","1.9328"
"376","1.9227","1.9227","1.9227"
"377","1.9227","1.9227","1.9227"
"378","1.7891","1.7891","1.7891"
"379","1.7891","1.7891","1.7891"
"380","1.7804","1.7804","1.7804"
"381","1.7804","1.7804","1.7804"
"382","2.0557","2.0557","2.0557"
"383","2.0557","2.0557","2.0557"
"384","1.9197","1.9197","1.9197"
"385","1.9197","1.9197","1.9197"
"386","1.899","1.899","1.899"
"387","1.899","1.899","1.899"
"388","1.8855","1.8855","1.8855"
"389","1.8855","1.8855","1.8855"
"390","1.9912","1.9912","1.9912"
"391","1.9912","1.9912","1.9912"
"392","1.8766","1.8766","1.8766"
"393","1.8766","1.8766","1.8766"
"394","1.7743","1.7743","1.7743"
"395","1.7743","1.7743","1.7743"
"396","1.9433","1.9433","1.9433"
"397","1.9433","1.9433","1.9433"
"398","1.9468","1.9468","1.9468"
"399","1.9468","1.9468","1.9468"
"400","1.9191","1.9191","1.9191"
"401","1.9191","1.9191","1.9191"
"402","1.9459","1.9459","1.9459"
"403","1.9459","1.9459","1.9459"
"404","1.9729","1.9729","1.9729"
"405","1.9729","1.9729","1.9729"
"406","1.8528","1.8528","1.8528"
"407","1.8528","1.8528","1.8528"
"408","1.8819","1.8819","1.8819"
"409","1.8819","1.8819","1.8819"
"410","1.797","1.797","1.797"
"411","1.797","1.797","1.797"
"412","1.8465","1.8465","1.8465"
"413","1.8465","1.8465","1.8465"
"414","1.9972","1.9972","1.9972"
"415","1.9972","1.9972","1.9972"
"416","2.003","2.003","2.003"
"417","2.003","2.003","2.003"
"418","1.9392","1.9392","1.9392"
"419","1.9392","1.9392","1.9392"
"420","1.9011","1.9011","1.9011"
"421","1.9011","1.9011","1.9011"
"422","1.7635","1.7635","1.7635"
"423","1.7635","1.7635","1.7635"
"424","1.9948","1.9948","1.9948"
"425","1.9948","1.9948","1.9948"
"426","1.8881","1.8881","1.8881"
"427","1.8881","1.8881","1.8881"
"428","1.8451","1.8451","1.8451"
"429","1.8451","1.8451","1.8451"
"430","1.7782","1.7782","1.7782"
"431","1.7782","1.7782","1.7782"
"432","1.8295","1.8295","1.8295"
"433","1.8295","1.8295","1.8295"
"434","1.8909","1.8909","1.8909"
"435","1.8909","1.8909","1.8909"
"436","1.8512","1.8512","1.8512"
"437","1.8512","1.8512","1.8512"
"438","1.7988","1.7988","1.7988"
"439","1.7988","1.7988","1.7988"
"440","1.8938","1.8938","1.8938"
"441","1.8938","1.8938","1.8938"
"442","1.9014","1.9014","1.9014"
"443","1.9014","1.9014","1.9014"
"444","1.9282","1.9282","1.9282"
"445","1.9282","1.9282","1.9282"
"446","1.9107","1.9107","1.9107"
"447","1.9107","1.9107","1.9107"
"448","1.7304","1.7304","1.7304"
"449","1.7304","1.7304","1.7304"
"450","1.8077","1.8077","1.8077"
"451","1.8077","1.8077","1.8077"
"452","1.7071","1.7071","1.7071"
"453","1.7071","1.7071","1.7071"
"454","1.7133","1.7133","1.7133"
"455","1.7133","1.7133","1.7133"
"456","1.7067","1.7067","1.7067"
"457","1.7067","1.7067","1.7067"
"458","1.7844","1.7844","1.7844"
"459","1.7844","1.7844","1.7844"
"460","1.7744","1.7744","1.7744"
"461","1.7744","1.7744","1.7744"
"462","1.8138","1.8138","1.8138"
"463","1.8138","1.8138","1.8138"
"464","1.8411","1.8411","1.8411"
"465","1.8411","1.8411","1.8411"
"466","1.7432","1.7432","1.7432"
"467","1.7432","1.7432","1.7432"
"468","1.7601","1.7601","1.7601"
"469","1.7601","1.7601","1.7601"
"470","1.6606","1.6606","1.6606"
"471","1.6606","1.6606","1.6606"
"472","1.7828","1.7828","1.7828"
"473","1.7828","1.7828","1.7828"
"474","1.8773","1.8773","1.8773"
"475","1.8773","1.8773","1.8773"
"476","1.9324","1.9324","1.9324"
"477","1.9324","1.9324","1.9324"
"478","1.799","1.799","1.799"
"479","1.799","1.799","1.799"
"480","1.825","1.825","1.825"
"481","1.825","1.825","1.825"
"482","1.61","1.61","1.61"
"483","1.61","1.61","1.61"
"484","1.6918","1.6918","1.6918"
"485","1.6918","1.6918","1.6918"
"486","1.7444","1.7444","1.7444"
"487","1.7444","1.7444","1.7444"
"488","1.7738","1.7738","1.7738"
"489","1.7738","1.7738","1.7738"
"490","1.7716","1.7716","1.7716"
"491","1.7716","1.7716","1.7716"
"492","1.6888","1.6888","1.6888"
"493","1.6888","1.6888","1.6888"
"494","1.844","1.844","1.844"
"495","1.844","1.844","1.844"
"496","1.7154","1.7154","1.7154"
"497","1.7154","1.7154","1.7154"
"498","1.8841","1.8841","1.8841"
"499","1.8841","1.8841","1.8841"
"500","1.717","1.717","1.717"
"501","1.717","1.717","1.717"
"502","1.7619","1.7619","1.7619"
