"Step","copper-serenity-10 - train/loss","copper-serenity-10 - train/loss__MIN","copper-serenity-10 - train/loss__MAX"
"676","1.5036","1.5036","1.5036"
"677","1.5036","1.5036","1.5036"
"678","1.602","1.602","1.602"
"679","1.602","1.602","1.602"
"680","1.7891","1.7891","1.7891"
"681","1.7891","1.7891","1.7891"
"682","1.5983","1.5983","1.5983"
"683","1.5983","1.5983","1.5983"
"684","1.5608","1.5608","1.5608"
"685","1.5608","1.5608","1.5608"
"686","1.7354","1.7354","1.7354"
"687","1.7354","1.7354","1.7354"
"688","1.7888","1.7888","1.7888"
"689","1.7888","1.7888","1.7888"
"690","1.6342","1.6342","1.6342"
"691","1.6342","1.6342","1.6342"
"692","1.7109","1.7109","1.7109"
"693","1.7109","1.7109","1.7109"
"694","1.763","1.763","1.763"
"695","1.763","1.763","1.763"
"696","1.7107","1.7107","1.7107"
"697","1.7107","1.7107","1.7107"
"698","1.7092","1.7092","1.7092"
"699","1.7092","1.7092","1.7092"
"700","1.5215","1.5215","1.5215"
"701","1.5215","1.5215","1.5215"
"702","1.6367","1.6367","1.6367"
"703","1.6367","1.6367","1.6367"
"704","1.6496","1.6496","1.6496"
"705","1.6496","1.6496","1.6496"
"706","1.7041","1.7041","1.7041"
"707","1.7041","1.7041","1.7041"
"708","1.7185","1.7185","1.7185"
"709","1.7185","1.7185","1.7185"
"710","1.7342","1.7342","1.7342"
"711","1.7342","1.7342","1.7342"
"712","1.5223","1.5223","1.5223"
"713","1.5223","1.5223","1.5223"
"714","1.6486","1.6486","1.6486"
"715","1.6486","1.6486","1.6486"
"716","1.5143","1.5143","1.5143"
"717","1.5143","1.5143","1.5143"
"718","1.582","1.582","1.582"
"719","1.582","1.582","1.582"
"720","1.6523","1.6523","1.6523"
"721","1.6523","1.6523","1.6523"
"722","1.6537","1.6537","1.6537"
"723","1.6537","1.6537","1.6537"
"724","1.7154","1.7154","1.7154"
"725","1.7154","1.7154","1.7154"
"726","1.6169","1.6169","1.6169"
"727","1.6169","1.6169","1.6169"
"728","1.6503","1.6503","1.6503"
"729","1.6503","1.6503","1.6503"
"730","1.6069","1.6069","1.6069"
"731","1.6069","1.6069","1.6069"
"732","1.5567","1.5567","1.5567"
"733","1.5567","1.5567","1.5567"
"734","1.6322","1.6322","1.6322"
