"Step","gallant-terrain-3 - train/loss","gallant-terrain-3 - train/loss__MIN","gallant-terrain-3 - train/loss__MAX"
"522","1.8456","1.8456","1.8456"
"523","1.8456","1.8456","1.8456"
"524","1.8076","1.8076","1.8076"
"525","1.8076","1.8076","1.8076"
"526","1.9262","1.9262","1.9262"
"527","1.9262","1.9262","1.9262"
"528","1.8696","1.8696","1.8696"
"529","1.8696","1.8696","1.8696"
"530","1.8147","1.8147","1.8147"
"531","1.8147","1.8147","1.8147"
"532","1.8605","1.8605","1.8605"
"533","1.8605","1.8605","1.8605"
"534","1.9251","1.9251","1.9251"
"535","1.9251","1.9251","1.9251"
"536","1.8162","1.8162","1.8162"
"537","1.8162","1.8162","1.8162"
"538","1.8348","1.8348","1.8348"
"539","1.8348","1.8348","1.8348"
"540","1.9031","1.9031","1.9031"
"541","1.9031","1.9031","1.9031"
"542","1.9051","1.9051","1.9051"
"543","1.9051","1.9051","1.9051"
"544","1.8124","1.8124","1.8124"
"545","1.8124","1.8124","1.8124"
"546","1.8005","1.8005","1.8005"
"547","1.8005","1.8005","1.8005"
"548","1.8763","1.8763","1.8763"
"549","1.8763","1.8763","1.8763"
"550","1.8215","1.8215","1.8215"
"551","1.8215","1.8215","1.8215"
"552","1.8363","1.8363","1.8363"
"553","1.8363","1.8363","1.8363"
"554","1.8245","1.8245","1.8245"
"555","1.8245","1.8245","1.8245"
"556","1.9834","1.9834","1.9834"
"557","1.9834","1.9834","1.9834"
"558","1.771","1.771","1.771"
"559","1.771","1.771","1.771"
"560","1.8032","1.8032","1.8032"
"561","1.8032","1.8032","1.8032"
"562","1.8589","1.8589","1.8589"
"563","1.8589","1.8589","1.8589"
"564","1.8337","1.8337","1.8337"
"565","1.8337","1.8337","1.8337"
"566","1.8509","1.8509","1.8509"
"567","1.8509","1.8509","1.8509"
"568","1.7846","1.7846","1.7846"
"569","1.7846","1.7846","1.7846"
"570","1.7924","1.7924","1.7924"
"571","1.7924","1.7924","1.7924"
"572","1.7959","1.7959","1.7959"
"573","1.7959","1.7959","1.7959"
"574","1.7949","1.7949","1.7949"
"575","1.7949","1.7949","1.7949"
"576","1.8926","1.8926","1.8926"
"577","1.8926","1.8926","1.8926"
"578","1.6657","1.6657","1.6657"
"579","1.6657","1.6657","1.6657"
"580","1.788","1.788","1.788"
"581","1.788","1.788","1.788"
"582","1.8072","1.8072","1.8072"
"583","1.8072","1.8072","1.8072"
"584","1.6657","1.6657","1.6657"
"585","1.6657","1.6657","1.6657"
"586","1.6962","1.6962","1.6962"
"587","1.6962","1.6962","1.6962"
"588","1.81","1.81","1.81"
"589","1.81","1.81","1.81"
"590","1.8584","1.8584","1.8584"
"591","1.8584","1.8584","1.8584"
"592","1.774","1.774","1.774"
"593","1.774","1.774","1.774"
"594","1.7772","1.7772","1.7772"
"595","1.7772","1.7772","1.7772"
"596","1.8028","1.8028","1.8028"
"597","1.8028","1.8028","1.8028"
"598","1.7374","1.7374","1.7374"
"599","1.7374","1.7374","1.7374"
"600","1.8768","1.8768","1.8768"
"601","1.8768","1.8768","1.8768"
"602","1.7083","1.7083","1.7083"
"603","1.7083","1.7083","1.7083"
"604","1.862","1.862","1.862"
"605","1.862","1.862","1.862"
"606","1.7687","1.7687","1.7687"
"607","1.7687","1.7687","1.7687"
"608","1.8476","1.8476","1.8476"
"609","1.8476","1.8476","1.8476"
"610","1.82","1.82","1.82"
"611","1.82","1.82","1.82"
"612","1.8901","1.8901","1.8901"
"613","1.8901","1.8901","1.8901"
"614","1.7825","1.7825","1.7825"
"615","1.7825","1.7825","1.7825"
"616","1.8281","1.8281","1.8281"
"617","1.8281","1.8281","1.8281"
"618","1.7826","1.7826","1.7826"
"619","1.7826","1.7826","1.7826"
"620","1.8429","1.8429","1.8429"
"621","1.8429","1.8429","1.8429"
"622","1.7893","1.7893","1.7893"
"623","1.7893","1.7893","1.7893"
"624","1.8305","1.8305","1.8305"
"625","1.8305","1.8305","1.8305"
"626","1.7325","1.7325","1.7325"
"627","1.7325","1.7325","1.7325"
"628","1.7489","1.7489","1.7489"
"629","1.7489","1.7489","1.7489"
"630","1.6596","1.6596","1.6596"
"631","1.6596","1.6596","1.6596"
"632","1.7742","1.7742","1.7742"
"633","1.7742","1.7742","1.7742"
"634","1.8117","1.8117","1.8117"
"635","1.8117","1.8117","1.8117"
"636","1.7451","1.7451","1.7451"
"637","1.7451","1.7451","1.7451"
"638","1.6809","1.6809","1.6809"
"639","1.6809","1.6809","1.6809"
"640","1.69","1.69","1.69"
"641","1.69","1.69","1.69"
"642","1.5728","1.5728","1.5728"
"643","1.5728","1.5728","1.5728"
"644","1.675","1.675","1.675"
"645","1.675","1.675","1.675"
"646","1.6838","1.6838","1.6838"
"647","1.6838","1.6838","1.6838"
"648","1.6913","1.6913","1.6913"
"649","1.6913","1.6913","1.6913"
"650","1.6881","1.6881","1.6881"
"651","1.6881","1.6881","1.6881"
"652","1.5971","1.5971","1.5971"
"653","1.5971","1.5971","1.5971"
"654","1.7563","1.7563","1.7563"
"655","1.7563","1.7563","1.7563"
"656","1.8025","1.8025","1.8025"
"657","1.8025","1.8025","1.8025"
"658","1.7004","1.7004","1.7004"
"659","1.7004","1.7004","1.7004"
"660","1.7917","1.7917","1.7917"
"661","1.7917","1.7917","1.7917"
"662","1.8634","1.8634","1.8634"
"663","1.8634","1.8634","1.8634"
"664","1.576","1.576","1.576"
"665","1.576","1.576","1.576"
"666","1.7958","1.7958","1.7958"
"667","1.7958","1.7958","1.7958"
"668","1.6426","1.6426","1.6426"
"669","1.6426","1.6426","1.6426"
"670","1.6434","1.6434","1.6434"
"671","1.6434","1.6434","1.6434"
"672","1.8228","1.8228","1.8228"
"673","1.8228","1.8228","1.8228"
"674","1.8176","1.8176","1.8176"
"675","1.8176","1.8176","1.8176"
"676","1.5315","1.5315","1.5315"
"677","1.5315","1.5315","1.5315"
"678","1.6335","1.6335","1.6335"
"679","1.6335","1.6335","1.6335"
"680","1.8242","1.8242","1.8242"
"681","1.8242","1.8242","1.8242"
"682","1.6271","1.6271","1.6271"
"683","1.6271","1.6271","1.6271"
"684","1.5868","1.5868","1.5868"
"685","1.5868","1.5868","1.5868"
"686","1.7665","1.7665","1.7665"
"687","1.7665","1.7665","1.7665"
"688","1.8251","1.8251","1.8251"
"689","1.8251","1.8251","1.8251"
"690","1.6643","1.6643","1.6643"
"691","1.6643","1.6643","1.6643"
"692","1.7527","1.7527","1.7527"
"693","1.7527","1.7527","1.7527"
"694","1.7952","1.7952","1.7952"
"695","1.7952","1.7952","1.7952"
"696","1.7389","1.7389","1.7389"
