"Step","deep-surf-23 - train/loss","deep-surf-23 - train/loss__MIN","deep-surf-23 - train/loss__MAX"
"534","1.7466","1.7466","1.7466"
"535","1.7466","1.7466","1.7466"
"536","1.6394","1.6394","1.6394"
"537","1.6394","1.6394","1.6394"
"538","1.6558","1.6558","1.6558"
"539","1.6558","1.6558","1.6558"
"540","1.7043","1.7043","1.7043"
"541","1.7043","1.7043","1.7043"
"542","1.723","1.723","1.723"
"543","1.723","1.723","1.723"
"544","1.6316","1.6316","1.6316"
"545","1.6316","1.6316","1.6316"
"546","1.6329","1.6329","1.6329"
"547","1.6329","1.6329","1.6329"
"548","1.7027","1.7027","1.7027"
"549","1.7027","1.7027","1.7027"
"550","1.6463","1.6463","1.6463"
"551","1.6463","1.6463","1.6463"
"552","1.6621","1.6621","1.6621"
"553","1.6621","1.6621","1.6621"
"554","1.6505","1.6505","1.6505"
"555","1.6505","1.6505","1.6505"
"556","1.7966","1.7966","1.7966"
"557","1.7966","1.7966","1.7966"
"558","1.5982","1.5982","1.5982"
"559","1.5982","1.5982","1.5982"
"560","1.6349","1.6349","1.6349"
"561","1.6349","1.6349","1.6349"
"562","1.6796","1.6796","1.6796"
"563","1.6796","1.6796","1.6796"
"564","1.6829","1.6829","1.6829"
"565","1.6829","1.6829","1.6829"
"566","1.6882","1.6882","1.6882"
"567","1.6882","1.6882","1.6882"
"568","1.6146","1.6146","1.6146"
"569","1.6146","1.6146","1.6146"
"570","1.6342","1.6342","1.6342"
"571","1.6342","1.6342","1.6342"
"572","1.6451","1.6451","1.6451"
"573","1.6451","1.6451","1.6451"
"574","1.6325","1.6325","1.6325"
"575","1.6325","1.6325","1.6325"
"576","1.7308","1.7308","1.7308"
"577","1.7308","1.7308","1.7308"
"578","1.5271","1.5271","1.5271"
"579","1.5271","1.5271","1.5271"
"580","1.6295","1.6295","1.6295"
"581","1.6295","1.6295","1.6295"
"582","1.6575","1.6575","1.6575"
"583","1.6575","1.6575","1.6575"
"584","1.5254","1.5254","1.5254"
"585","1.5254","1.5254","1.5254"
"586","1.5502","1.5502","1.5502"
"587","1.5502","1.5502","1.5502"
"588","1.6596","1.6596","1.6596"
"589","1.6596","1.6596","1.6596"
"590","1.694","1.694","1.694"
"591","1.694","1.694","1.694"
"592","1.6271","1.6271","1.6271"
"593","1.6271","1.6271","1.6271"
"594","1.6282","1.6282","1.6282"
"595","1.6282","1.6282","1.6282"
"596","1.6508","1.6508","1.6508"
"597","1.6508","1.6508","1.6508"
"598","1.5987","1.5987","1.5987"
"599","1.5987","1.5987","1.5987"
"600","1.7242","1.7242","1.7242"
"601","1.7242","1.7242","1.7242"
"602","1.574","1.574","1.574"
"603","1.574","1.574","1.574"
"604","1.7084","1.7084","1.7084"
"605","1.7084","1.7084","1.7084"
"606","1.6296","1.6296","1.6296"
"607","1.6296","1.6296","1.6296"
"608","1.6921","1.6921","1.6921"
"609","1.6921","1.6921","1.6921"
"610","1.6716","1.6716","1.6716"
"611","1.6716","1.6716","1.6716"
"612","1.7348","1.7348","1.7348"
"613","1.7348","1.7348","1.7348"
"614","1.6356","1.6356","1.6356"
"615","1.6356","1.6356","1.6356"
"616","1.6815","1.6815","1.6815"
"617","1.6815","1.6815","1.6815"
"618","1.6398","1.6398","1.6398"
"619","1.6398","1.6398","1.6398"
"620","1.6828","1.6828","1.6828"
"621","1.6828","1.6828","1.6828"
"622","1.6496","1.6496","1.6496"
"623","1.6496","1.6496","1.6496"
"624","1.6753","1.6753","1.6753"
"625","1.6753","1.6753","1.6753"
"626","1.6151","1.6151","1.6151"
"627","1.6151","1.6151","1.6151"
"628","1.6149","1.6149","1.6149"
"629","1.6149","1.6149","1.6149"
"630","1.5336","1.5336","1.5336"
"631","1.5336","1.5336","1.5336"
"632","1.6313","1.6313","1.6313"
"633","1.6313","1.6313","1.6313"
"634","1.6816","1.6816","1.6816"
"635","1.6816","1.6816","1.6816"
"636","1.6147","1.6147","1.6147"
"637","1.6147","1.6147","1.6147"
"638","1.5425","1.5425","1.5425"
"639","1.5425","1.5425","1.5425"
"640","1.5554","1.5554","1.5554"
"641","1.5554","1.5554","1.5554"
"642","1.4528","1.4528","1.4528"
"643","1.4528","1.4528","1.4528"
"644","1.5488","1.5488","1.5488"
"645","1.5488","1.5488","1.5488"
"646","1.5601","1.5601","1.5601"
"647","1.5601","1.5601","1.5601"
"648","1.5578","1.5578","1.5578"
"649","1.5578","1.5578","1.5578"
"650","1.5631","1.5631","1.5631"
"651","1.5631","1.5631","1.5631"
